case_name,aggregate_sources_json,qualified,route_state,executed,execution_status,record_result,succeeded,verified_empty,truncated,upstream_total_unknown,failed,record_count,returned_count,completeness,upstream_total,pages_fetched,truncation_reason,reason_code,warning_count,warnings_json,elapsed_seconds,qualified_source_route,provider_database_scope
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.395911,optimade:optimade.materialscloud.org/archive/zt-z4,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.363334,optimade:optimade.materialscloud.org/main/2dtopo,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.370482,optimade:optimade.materialscloud.org/main/autowannier,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.459776,optimade:optimade.materialscloud.org/main/curated-cofs,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,3,3,complete,3,1,,records_returned,0,[],0.42812,optimade:optimade.materialscloud.org/main/mc2d,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,5,5,complete,5,1,,records_returned,0,[],0.54516,optimade:optimade.materialscloud.org/main/mc3d-pbe-v1,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,4,4,complete,4,1,,records_returned,0,[],1.456849,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,complete,True,False,False,False,False,5,5,complete,5,1,,records_returned,0,[],0.42285,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.365199,optimade:optimade.materialscloud.org/main/pyrene-mofs,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.04238,optimade:optimade.materialscloud.org/main/stoceriaitf,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],0.456015,optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide,optimade:optimade.materialscloud.org
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.4904,optimade:optimade.odbx.science,optimade:optimade.odbx.science
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],1.691138,optimade:optimade.openmaterialsdb.se,optimade:optimade.openmaterialsdb.se
bi2se3-topology,[],True,ready,True,failed,failed,False,False,False,False,True,0,,not_applicable,,0,,upstream_http_unavailable,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""HTTP 502 Bad Gateway for https://oqmd.org/oqmdapi/formationenergy?fields=name%2Centry_id%2Cicsd_id%2Cprototype%2Cntypes%2Cnatoms%2Cvolume%2Cdelta_e%2Cband_gap%2Cstability%2Cspacegroup&limit=512&format=json&composition=Bi2Se3&offset=0\"",\""reason_code\"":\""upstream_http_unavailable\"",\""source\"":\""oqmd\""}"",""reason_code"":""source_warning""}]",31.587116,oqmd,oqmd
bi2se3-topology,[],True,ready,True,succeeded,empty,True,True,False,False,False,0,0,complete,0,1,,verified_empty_result,0,[],4.203685,tcod,tcod
