case_name,shard_bundle_id,qualified_source_route,output_sources_json,status,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason
lifepo4-stability,sha256:0128d718f833d63579796677b483e70ef1bd1aa36f5df691d6965118254c26f8,alexandria,"[""alexandria""]",succeeded,records_returned,54,54,54,"[[""alexandria"",54]]",True,True,complete,,3,"0.08547922,agm005267597",alexandria_next_cursor_absent,
lifepo4-stability,sha256:683b491ac521eaa50a0bba4049193b768196e05f177f4a7c348940cfa59a2349,c2db,"[""c2db""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://c2db.fysik.dtu.dk,c2db_candidate_rows_exhausted,
lifepo4-stability,sha256:704b0986fa3195f5b453517c5c69f1509a4ef0bd30ce0dfceb7b66c91dd7420c,cod,"[""cod""]",succeeded,records_returned,11,11,11,"[[""cod"",11]]",True,True,complete,11,1,,rest_count_matches_json_rows,
lifepo4-stability,sha256:380868df0e48126a28eeeb9f3a5dc5d549c6a8fc917efc63965171ae1fe948bb,jarvis_dft,"[""jarvis_dft""]",succeeded,records_returned,20,20,20,"[[""jarvis_dft"",20]]",True,True,complete,20,1,,fixed_snapshot_scanned_to_end,
lifepo4-stability,sha256:76b7eaf5481b8757585c44972d61fcc81a0e93754296125deecf9b12f01c89df,materials_project,"[""materials_project""]",succeeded,records_returned,70,70,70,"[[""materials_project"",70]]",True,True,complete,,1,,mp_api_chunk_sequence_exhausted,
lifepo4-stability,sha256:7f4d6070c9557c961ce0c05624af64cb1ef05387b0a05966c513dad1849d9d14,materialsgalaxy,"[""materialsgalaxy:ferroelectric"",""materialsgalaxy:layered_structures"",""materialsgalaxy:nonlinear_optical"",""materialsgalaxy:sc_growth"",""materialsgalaxy:topo_crystals"",""materialsgalaxy:topo_phonons""]",succeeded,records_returned,3,3,3,"[[""materialsgalaxy:topo_crystals"",3]]",True,True,complete,3,1,1,materials_galaxy_total_reconciled,
lifepo4-stability,sha256:1f063bb7c5183c4bf808b7f0d10d7b2cd424dbcc0b9a2c3686f476502a8facb4,mpds,"[""mpds""]",failed,upstream_access_denied,0,0,0,[],True,True,failed,,0,,,
lifepo4-stability,sha256:df4f75b194c1fcc165e31d5dc5de64f1e26fa284349acabfed7c9f2356a9ba7a,nomad,"[""nomad""]",succeeded,records_returned,246,246,246,"[[""nomad"",246]]",True,True,complete,246,3,pqFpNNdLJD6iXyLhvPWF2f8c_q4E,nomad_cursor_exhausted,
lifepo4-stability,sha256:3dd70ebae49e27c66a45d43fb441c1642acfb1a653c34e15a5ab1ad41505a8e3,optimade:mpddoptimade.phaseslab.org,"[""optimade:mpddoptimade.phaseslab.org""]",failed,upstream_timeout,0,0,0,[],True,True,failed,,0,,,
lifepo4-stability,sha256:c224bec448312c7d1cf7cc06be2b9806b0e4c4fef47c56fc2ea707af1abb3458,optimade:optimade-gnome.odbx.science,"[""optimade:optimade-gnome.odbx.science""]",succeeded,records_returned,1,1,1,"[[""optimade:optimade-gnome.odbx.science"",1]]",True,True,complete,1,1,https://optimade-gnome.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,
