case_name,qualified_source_route,aggregate_sources_json,route_state,execution_status,record_result,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason,normalized_record_bytes_in_bundle,elapsed_seconds,effective_product_record_limit,effective_product_max_pages,effective_product_max_elapsed_seconds,effective_product_max_normalized_bytes,warning_count,warnings_json,failure_type,message
mos2-band-gap,optimade:optimade.odbx.science,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,1.318475,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.openmaterialsdb.se,[],ready,succeeded,complete,records_returned,2,2,2,"[[""optimade:optimade.openmaterialsdb.se"",2]]",True,True,complete,2,1,http://optimade.openmaterialsdb.se/v1/structures,optimade_links_next_absent_for_all_selected_providers,,1606,1.714766,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,oqmd,[],ready,failed,failed,upstream_http_unavailable,0,0,0,[],True,True,,,0,,,,0,31.735808,10000,10000,300.0,1000000000,1,"[{""failure_type"":null,""message"":""{\""failure_type\"":\""service_failure\"",\""message\"":\""HTTP 502 Bad Gateway for https://oqmd.org/oqmdapi/formationenergy?fields=name%2Centry_id%2Cicsd_id%2Cprototype%2Cntypes%2Cnatoms%2Cvolume%2Cdelta_e%2Cband_gap%2Cstability%2Cspacegroup&limit=512&format=json&composition=MoS2&offset=0\"",\""reason_code\"":\""upstream_http_unavailable\"",\""source\"":\""oqmd\""}"",""reason_code"":""source_warning""}]",service_failure,HTTP 502 Bad Gateway for https://oqmd.org/oqmdapi/formationenergy?fields=name%2Centry_id%2Cicsd_id%2Cprototype%2Cntypes%2Cnatoms%2Cvolume%2Cdelta_e%2Cband_gap%2Cstability%2Cspacegroup&limit=512&format=json&composition=MoS2&offset=0
mos2-band-gap,tcod,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,,rest_count_matches_json_rows,,0,2.311004,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,aflow,[],ready,succeeded,complete,records_returned,35,35,35,"[[""aflow"",35]]",True,True,complete,,1,1,aflow_short_page,,77214,4.96931,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,alexandria,[],ready,succeeded,complete,records_returned,54,54,54,"[[""alexandria"",54]]",True,True,complete,,3,"0.08547922,agm005267597",alexandria_next_cursor_absent,,119625,4.527188,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,c2db,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://c2db.fysik.dtu.dk,c2db_candidate_rows_exhausted,,0,3.360281,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,cod,[],ready,succeeded,complete,records_returned,11,11,11,"[[""cod"",11]]",True,True,complete,11,1,,rest_count_matches_json_rows,,19056,4.458173,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,jarvis_dft,[],ready,succeeded,complete,records_returned,20,20,20,"[[""jarvis_dft"",20]]",True,True,complete,20,1,,fixed_snapshot_scanned_to_end,,114841,3.330642,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,materials_project,[],ready,succeeded,complete,records_returned,70,70,70,"[[""materials_project"",70]]",True,True,complete,,1,,mp_api_chunk_sequence_exhausted,,454841,2.728375,10000,10000,300.0,1000000000,0,[],,
